id,neighbourhood_group_name,neighbourhood_Name
879038,Rotorua District,Area Outside Ward
879257,Far North District,Te Hiku Ward
881099,Napier City,Nelson Park Ward
881406,Christchurch City,Banks Peninsula Ward
890599,Nelson City,Area Outside Ward
895365,Whangarei District,Denby Ward
901082,Auckland,Ōrākei Ward
907092,Auckland,Albert-Eden-Puketāpapa Ward
919802,Queenstown-Lakes District,Wanaka Ward
921494,Lower Hutt City,Harbour Ward
923640,Thames-Coromandel District,Coromandel-Colville Ward
923719,Queenstown-Lakes District,Wanaka Ward
923874,Queenstown-Lakes District,Wanaka Ward
924027,Far North District,Te Hiku Ward
925684,Westland District,Northern Ward
925739,Tauranga City,Te Papa-Welcome Bay Ward
929660,Southland District,Mararoa Waimea Ward
934470,Waitaki District,Ahuriri Ward
935959,Waikato District,Raglan Ward
945716,Hurunui District,West Ward
948359,Taupo District,Taupō Ward
950177,Wellington City,Motukairangi/Eastern Ward
951905,Auckland,Albert-Eden-Puketāpapa Ward
954154,Wellington City,Paekawakawa/Southern Ward
955513,Rotorua District,Area Outside Ward
956959,Whakatane District,Whakatāne-Ōhope Ward 
958529,Lower Hutt City,Wainuiomata Ward
960609,Queenstown-Lakes District,Queenstown-Wakatipu Ward
962267,Wellington City,Pukehīnau/Lambton Ward
966688,Ruapehu District,Taumarunui Ward
973604,Queenstown-Lakes District,Wanaka Ward
973718,Waimakariri District,Kaiapoi-Woodend Ward
988120,Taupo District,Taupō Ward
993000,Nelson City,Area Outside Ward
998341,Whangarei District,Hikurangi-Coastal Ward
999041,Dunedin City,Area Outside Ward
1001964,Auckland,Waitākere Ward
1004252,Christchurch City,Banks Peninsula Ward
1004286,Nelson City,Area Outside Ward
1004292,Nelson City,Area Outside Ward
1004331,Nelson City,Area Outside Ward
1004333,Auckland,Waitematā and Gulf Ward
1004449,Nelson City,Area Outside Ward
1004458,Nelson City,Area Outside Ward
1004543,Westland District,Northern Ward
1007247,Christchurch City,Riccarton Ward
1014284,Far North District,Bay of Islands-Whangaroa Ward
1014727,Auckland,Albert-Eden-Puketāpapa Ward
1016140,Nelson City,Area Outside Ward
1018342,Western Bay of Plenty District,Maketu-Te Puke Ward
1022125,Far North District,Bay of Islands-Whangaroa Ward
1022614,Wellington City,Paekawakawa/Southern Ward
1025000,Nelson City,Area Outside Ward
1032828,Dunedin City,Area Outside Ward
1034912,Auckland,Albany Ward
1040415,Napier City,Ahuriri Ward
1040848,Auckland,Waitākere Ward
1046110,Auckland,Howick Ward
1051813,Westland District,Northern Ward
1051841,Westland District,Northern Ward
1056250,Auckland,North Shore Ward
1063580,Auckland,Manurewa-Papakura Ward
1074429,Auckland,North Shore Ward
1074846,Wellington City,Paekawakawa/Southern Ward
1084696,Waipa District,Cambridge Ward
1090234,Auckland,Franklin Ward
1095156,Auckland,North Shore Ward
1097487,Christchurch City,Fendalton Ward
1098169,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1100811,Auckland,Ōrākei Ward
1107793,Whangarei District,Okara Ward
1113600,Marlborough District,Marlborough Sounds Ward
1122020,Wellington City,Paekawakawa/Southern Ward
1122846,Rotorua District,Area Outside Ward
1135047,Wellington City,Wharangi/Onslow-Western Ward
1142124,Auckland,Howick Ward
1147894,Thames-Coromandel District,Coromandel-Colville Ward
1151780,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1151781,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1151900,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1154729,Nelson City,Area Outside Ward
1156851,Wellington City,Pukehīnau/Lambton Ward
1159867,Whangarei District,Okara Ward
1160513,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1160770,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1168216,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1168263,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1168322,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1168717,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1183752,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1192299,Queenstown-Lakes District,Arrowtown Ward
1195457,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1195484,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1202288,Auckland,Whau Ward
1207123,Auckland,Ōrākei Ward
1210131,Auckland,Waitematā and Gulf Ward
1213899,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1213906,Thames-Coromandel District,Mercury Bay Ward
1217751,Southland District,Mararoa Waimea Ward
1224140,Thames-Coromandel District,Thames Ward
1224230,Waikato District,Raglan Ward
1229559,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1229895,Masterton District,Area Outside Ward
1233376,Queenstown-Lakes District,Arrowtown Ward
1236698,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1236743,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1236783,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1252542,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1252812,Wellington City,Pukehīnau/Lambton Ward
1257116,Queenstown-Lakes District,Wanaka Ward
1269226,Kapiti Coast District,Paekākāriki-Raumati Ward
1273836,Auckland,Waitākere Ward
1280658,Napier City,Ahuriri Ward
1284613,Selwyn District,Selwyn Central Ward
1291385,Auckland,Rodney Ward
1295988,Timaru District,Timaru Ward
1308663,Palmerston North City,Area Outside Ward
1313704,Queenstown-Lakes District,Arrowtown Ward
1314425,Queenstown-Lakes District,Arrowtown Ward
1337469,Auckland,Waitākere Ward
1344955,Porirua City,Northern Ward/Pukerua ki te Raki
1352751,Queenstown-Lakes District,Queenstown-Wakatipu Ward
